line,Sample,ct_lectin,ct_rpl,delta_ct,ct_lectin_no_rt
73,Control,31.02864456,18.5252037,-12.50344086,33.32258606
73,Treatment,30.68724632,18.68717766,-12.00006866,31.97934723
105,Control,31.45733833,19.04456902,-12.41276932,34.42909241
105,Treatment,30.61287689,18.82419395,-11.78868294,31.50662804
161,Control,28.46455002,18.12361526,-10.34093475,31.6783123
161,Treatment,21.80305862,18.30152702,-3.501531601,34.60982895
208,Control,31.14288902,18.50170326,-12.64118576,32.933918
208,Treatment,30.95427895,18.11314964,-12.8411293,32.23625183
280,Control,27.36149788,18.46442032,-8.89707756,33.45815277
280,Treatment,26.32122421,18.30948257,-8.011741638,33.17807388
358,Control,30.40363503,18.16783524,-12.23579979,32.88422394
358,Treatment,29.83637619,18.19692612,-11.63945007,32.83470535
373,Control,26.41106987,18.01683807,-8.394231796,33.83268738
373,Treatment,24.5069313,18.59659958,-5.910331726,32.93671417
492,Control,30.64608383,18.61400414,-12.0320797,31.94447517
492,Treatment,27.28642082,18.5970974,-8.689323425,33.27468872
517,Control,23.93016815,18.70932007,-5.220848083,34.92609787
517,Treatment,21.50720024,18.74883652,-2.758363724,33.70640564
563,Control,27.88945198,19.14491463,-8.744537354,33.96258545
563,Treatment,22.22298241,18.31110573,-3.911876678,32.72809982
566,Control,26.97760773,17.90214729,-9.075460434,32.29433823
566,Treatment,21.38259888,17.93445587,-3.448143005,32.92340851
584,Control,27.31459045,18.56803894,-8.746551514,32.93027878
584,Treatment,21.55781174,18.64788055,-2.909931183,33.86876678
627,Control,30.12585449,18.55640984,-11.56944466,32.94895935
627,Treatment,26.47827148,18.16746521,-8.310806274,33.30696869
774,Control,27.0522995,18.20717621,-8.845123291,32.22022247
774,Treatment,22.9528656,18.23885155,-4.714014053,31.55767059
822,Control,27.48479271,18.00431824,-9.480474472,29.10513306
822,Treatment,22.09679222,18.52033615,-3.57645607,32.32218552
911,Control,26.94767952,17.77828217,-9.169397354,31.90255928
911,Treatment,21.23166466,17.55470848,-3.676956177,31.24951553
437,Control,26.71661663,19.00572443,-7.7108922,33.31718349
437,Treatment,22.2108593,19.0353446,-3.175514698,32.02072382
892,Control,31.42723799,18.40385962,-13.02337837,31.55250613
892,Treatment,31.17269993,18.46411514,-12.70858479,32.42832279
